source_id,physical_watch_id,tilt_deg,angle_deg,n_edge_pixels,resid_vs_ticksonly_H_px,implied_canonical_radius_via_ticksonly_H
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,15.00,14,5.120,1.0327
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,22.50,9,7.675,1.0440
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,30.00,13,4.647,1.0305
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,37.50,13,6.726,1.0398
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,45.00,14,3.703,1.0264
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,52.50,19,1.990,1.0187
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,60.00,17,0.709,1.0071
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,67.50,16,1.030,1.0079
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,75.00,16,0.876,1.0139
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,82.50,14,0.405,1.0118
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,90.00,16,0.516,1.0078
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,97.50,14,1.622,1.0162
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,105.00,14,1.082,1.0148
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,112.50,19,2.223,1.0197
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,120.00,17,2.163,1.0181
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,127.50,19,0.767,1.0123
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,135.00,19,1.108,1.0149
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,142.50,23,0.424,1.0083
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,150.00,19,0.510,1.0091
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,157.50,14,0.956,1.0060
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,165.00,15,1.504,1.0143
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,172.50,21,1.762,1.0135
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,180.00,14,1.003,1.0056
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,-172.50,18,0.831,1.0134
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,-165.00,15,1.885,1.0164
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,-157.50,12,2.035,1.0123
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,-150.00,14,3.245,1.0227
