source_id,physical_watch_id,tilt_deg,n_ticks,n_boundary,tick_inlier_frac,boundary_inlier_frac,ticksonly_inlier_frac
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.811,44,46,0.8864,0.3913,0.8864
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,48,48,0.9583,0.2292,0.9583
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,48,25,0.4167,0.0000,0.5208
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,48,41,0.9375,0.0244,0.9583
rep_arf_m304y61,rep_arf_m304y61,3.913,48,48,0.9583,0.3125,0.9583
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,3.974,48,47,0.9167,0.2553,0.9583
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,48,37,0.9167,0.0270,0.9167
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,4.073,42,35,0.4762,0.0857,0.5714
rep_cf_6I00d8w,rep_cf_6I00d8w,4.189,48,47,0.8125,0.3830,0.8125
gen_wex_3KSuGhC,gen_wex_3KSuGhC,4.418,48,28,0.8750,0.1071,0.7708
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,4.510,48,46,0.8333,0.3913,0.8333
rep_vsf_GKJDidL,rep_vsf_GKJDidL,4.819,48,32,0.8750,0.0312,0.7292
rep_cf_bpdi5xV,rep_cf_bpdi5xV,5.024,48,47,1.0000,0.1702,1.0000
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,5.386,44,48,0.9091,0.2083,0.9545
gen_wex_3KSuGhC,gen_wex_3KSuGhC,5.541,48,48,0.8333,0.3333,0.8750
rep_cf_f71234_Sw2D1Bt,rep_cf_f71234_Sw2D1Bt,5.615,48,48,0.9375,0.4792,0.9583
rep_cf_6I00d8w,rep_cf_6I00d8w,5.725,38,48,0.9737,0.3333,0.9737
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,5.806,47,37,0.6383,0.4865,0.5957
rep_cf_6I00d8w,rep_cf_6I00d8w,6.092,40,47,0.9750,0.4894,1.0000
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,6.207,44,38,0.4091,0.3947,0.4545
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,6.214,48,48,0.9375,0.7500,0.9792
rep_cf_f71234_Sw2D1Bt,rep_cf_f71234_Sw2D1Bt,6.221,48,48,1.0000,0.3958,0.9792
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,6.517,46,42,0.6522,0.2381,0.5870
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,6.640,45,39,0.6889,0.3077,0.7556
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,6.768,42,41,0.8810,0.9512,0.8810
rep_cf_bpdi5xV,rep_cf_bpdi5xV,6.788,48,46,0.9792,0.2391,1.0000
gen_wex_e99gXKb,gen_wex_e99gXKb,6.877,48,48,0.8750,0.1875,0.8750
rep_cplus_wEYZOyK,rep_cplus_wEYZOyK,7.747,48,48,1.0000,0.4583,0.9792
rep_cf_xK08a3L,rep_cf_xK08a3L,8.473,47,27,0.6809,0.0370,0.7234
rep_cf_sx6zSKZ,rep_cf_sx6zSKZ,8.582,41,44,0.8780,0.2727,0.8537
gen_wex_e99gXKb,gen_wex_e99gXKb,8.615,48,45,1.0000,0.7556,1.0000
rep_vsf_oVwWMrC,rep_vsf_oVwWMrC,8.877,48,48,0.9583,0.1458,0.8958
rep_vsf_oVwWMrC,rep_vsf_oVwWMrC,9.401,48,48,0.8958,0.2083,0.8958
rep_cf_bpdi5xV,rep_cf_bpdi5xV,10.111,48,44,1.0000,0.2727,1.0000
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,10.985,47,44,0.7872,0.5909,0.8085
rep_cf_QsJT2wk,rep_cf_QsJT2wk,11.033,42,45,0.9524,0.7333,0.9524
rep_cf_QsJT2wk,rep_cf_QsJT2wk,11.841,44,35,0.7500,0.2000,0.6818
gen_wex_e99gXKb,gen_wex_e99gXKb,12.097,48,39,0.8125,0.0513,0.8125
rep_cf_xK08a3L,rep_cf_xK08a3L,12.182,42,44,0.7143,0.0455,0.7381
rep_cf_6I00d8w,rep_cf_6I00d8w,12.375,36,48,0.8889,0.5833,0.9167
rep_cf_QsJT2wk,rep_cf_QsJT2wk,12.618,39,47,1.0000,0.4255,1.0000
rep_cf_QsJT2wk,rep_cf_QsJT2wk,12.682,40,46,0.9750,0.5870,0.9250
rep_vsf_GKJDidL,rep_vsf_GKJDidL,13.761,48,44,0.9167,0.3409,0.8958
gen_wex_3KSuGhC,gen_wex_3KSuGhC,20.730,47,32,0.5532,0.1250,0.4894
rep_cf_QsJT2wk,rep_cf_QsJT2wk,45.711,35,44,0.6286,0.2955,0.6000
