physical_watch_id,n_images,apex_r_simple_median,apex_r_simple_n,apex_r_simple_within_watch_mad,centre_r_simple_median,centre_r_simple_n,centre_r_simple_within_watch_mad,base_r_simple_median,base_r_simple_n,base_r_simple_within_watch_mad,apex_to_base_span_simple_median,apex_to_base_span_simple_n,apex_to_base_span_simple_within_watch_mad,base_to_minute_track_gap_simple_median,base_to_minute_track_gap_simple_n,base_to_minute_track_gap_simple_within_watch_mad,centre_to_minute_track_gap_simple_median,centre_to_minute_track_gap_simple_n,centre_to_minute_track_gap_simple_within_watch_mad,triangle_height_over_minute_track_r_median,triangle_height_over_minute_track_r_n,triangle_height_over_minute_track_r_within_watch_mad,base_width_over_height_median,base_width_over_height_n,base_width_over_height_within_watch_mad,base_half_width_symmetry_median,base_half_width_symmetry_n,base_half_width_symmetry_within_watch_mad,centroid_position_within_span_median,centroid_position_within_span_n,centroid_position_within_span_within_watch_mad,centroid_tangential_offset_canonical_median,centroid_tangential_offset_canonical_n,centroid_tangential_offset_canonical_within_watch_mad,centroid_angular_offset_deg_median,centroid_angular_offset_deg_n,centroid_angular_offset_deg_within_watch_mad,symmetry_axis_angular_deviation_deg_median,symmetry_axis_angular_deviation_deg_n,symmetry_axis_angular_deviation_deg_within_watch_mad,base_line_angular_deviation_deg_median,base_line_angular_deviation_deg_n,base_line_angular_deviation_deg_within_watch_mad,apex_r_projective_median,apex_r_projective_n,apex_r_projective_within_watch_mad,centre_r_projective_median,centre_r_projective_n,centre_r_projective_within_watch_mad,base_r_projective_median,base_r_projective_n,base_r_projective_within_watch_mad,apex_to_base_span_projective_median,apex_to_base_span_projective_n,apex_to_base_span_projective_within_watch_mad,base_to_minute_track_gap_projective_median,base_to_minute_track_gap_projective_n,base_to_minute_track_gap_projective_within_watch_mad,centre_to_minute_track_gap_projective_median,centre_to_minute_track_gap_projective_n,centre_to_minute_track_gap_projective_within_watch_mad,apex_r_projective_over_round_inner_median,apex_r_projective_over_round_inner_n,apex_r_projective_over_round_inner_within_watch_mad,centre_r_projective_over_round_centre_median,centre_r_projective_over_round_centre_n,centre_r_projective_over_round_centre_within_watch_mad,base_r_projective_over_round_outer_median,base_r_projective_over_round_outer_n,base_r_projective_over_round_outer_within_watch_mad
gen_1stdibs_j10266432,1,0.5479852611739572,1,,0.6487961567056834,1,,0.7133979914039584,1,,0.16541273023000125,1,,0.17760200859604158,1,,0.24220384329431666,1,,0.18716339028517281,1,,1.186843282171463,1,,0.0,1,,0.6094506474293228,1,,-0.01482902171580895,1,,-1.3093364436409074,1,,7.294987433050191,1,,0.31416332135015157,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
gen_1stdibs_j14512702,2,0.5488874713587577,2,0.0005823638941109266,0.6501446946550221,2,0.005153370055165474,0.7152020154006525,2,0.006676335294496627,0.16631454404189483,2,0.0060939714003857,0.17579798459934748,2,0.006676335294496627,0.2408553053449779,2,0.005153370055165474,0.1870460641634034,2,0.00681107577555784,1.2178252867856294,2,0.03828741006237901,-1.0285582153091928e-16,2,3.473986708254677e-17,0.6086397321228043,2,0.0051827881038631896,-0.004940633717199364,2,0.009580482159848334,-0.42864108299859915,2,0.8408003441452798,0.20273940167797933,2,3.681079917385551,0.47481257559497425,2,0.03616693878317842,0.606026319307093,1,,0.7215368763205625,1,,0.7940105781456539,1,,0.18798425883856085,1,,0.09698942185434611,1,,0.1694631236794375,1,,0.8899064894377283,1,,0.9607681442351033,1,,0.9671261609569476,1,
gen_1stdibs_j14542122,1,0.5484796890442136,1,,0.6538527479743552,1,,0.7234965144169926,1,,0.17501682537277896,1,,0.16750348558300743,1,,0.2371472520256448,1,,0.19772061034962587,1,,1.1541899508427755,1,,-2.0475502195128066e-16,1,,0.6020738789296465,1,,0.0035551109285012782,1,,0.3115240324721917,1,,6.55663461831386,1,,0.12576362346313963,1,,0.5996030150371463,1,,0.7244401592419062,1,,0.8088134853900752,1,,0.20921047035292895,1,,0.08218651460992477,1,,0.16655984075809382,1,,0.8804743245773072,1,,0.9646340336110601,1,,0.985156498648082,1,
gen_1stdibs_j15020852,3,0.5496111263521658,3,0.004389848138215524,0.6433262019289478,3,0.002503247662068331,0.7078186447090165,3,0.003117361642421823,0.16259736649506618,3,0.007507209780637347,0.18318135529098356,3,0.003117361642421823,0.24767379807105216,3,0.002503247662068331,0.18251300381403332,3,0.008380486289687183,1.1959505170538158,3,0.09423881446279503,-1.7839866044584497e-16,3,3.5671813104702476e-17,0.6033610865276495,3,0.015239765052269205,0.013950322723612574,3,0.014202111047169398,1.2470970053736536,3,1.2668461375612188,0.046779256295013935,3,0.9832315307661599,-0.3304055803128678,3,0.6516845892101379,0.5499758579170579,2,0.017426229790680425,0.7016530012396412,2,0.031585370327451345,0.7965537953838195,2,0.025689483615457587,0.24657793746676165,2,0.008263253824777161,0.09444620461618042,2,0.025689483615457587,0.18934699876035876,2,0.031585370327451345,0.807600378732831,2,0.02558917737251165,0.9342916128357407,2,0.04205775010313095,0.9702238677025818,2,0.0312904794341749
gen_1stdibs_j22086492,6,0.5497344674122494,6,0.0029704986794151234,0.7027824614639191,6,0.022199578828286604,0.792156039821695,6,0.020598096957049394,0.24037484347270527,6,0.01946061105386182,0.09884396017830499,6,0.020598096957049394,0.18821753853608092,6,0.022199578828286604,0.26997127447154773,6,0.021652783076112347,0.891386221790951,6,0.10282892369795948,-1.3233660259230254e-16,6,2.332625287401587e-16,0.6285356252217007,6,0.01952856104088152,0.0012112247704156363,6,0.0015346709177156853,0.09567507624100399,6,0.12582039935225814,0.27895354382590626,6,1.610745763192332,0.8423376011548516,6,1.3712493313532512,0.5774919379940042,6,0.009014275339695954,0.7230114893632185,6,0.009932954307017128,0.8103623453053024,6,0.0029211753841158483,0.22949078042095938,6,0.01399855627012847,0.08063765469469758,6,0.0029211753841158483,0.1679885106367815,6,0.009932954307017128,0.8480057826637359,6,0.013236821350508021,0.9627316769150713,6,0.013226304004017475,0.9870430515289921,6,0.003558069895390814
gen_1stdibs_j22349682,1,0.548714537316022,1,,0.7239273248843907,1,,0.8169800765053143,1,,0.2682655391892923,1,,0.07401992349468567,1,,0.1670726751156093,1,,0.30108568920753415,1,,0.855105590747339,1,,-4.839747076561364e-16,1,,0.6531319233095229,1,,0.0016877695025362069,1,,0.13357956075974825,1,,-0.21046535205453043,1,,4.045801132253183,1,,0.6007167976584963,1,,0.7377610656747712,1,,0.8031142662780386,1,,0.20239746861954233,1,,0.0878857337219614,1,,0.15323893432522884,1,,0.8821098350345026,1,,0.9823715921102146,1,,0.9782146970499862,1,
gen_1stdibs_j24782832,5,0.5519824262780699,4,0.006513452443963952,0.6882190633455423,4,0.04968881948167225,0.7978211135795203,4,0.017984416268743753,0.17206537697654695,4,0.08028676276886743,0.09317888642047967,4,0.017984416268743753,0.20278093665445773,4,0.04968881948167225,0.25317144348297244,4,0.03718695420904447,1.0709351671609864,4,0.2774113861994659,4.3460908477475826e-17,4,3.1749127846367596e-16,0.6840935659156657,4,0.09981054873435974,0.023469184752243542,4,0.031010527868820532,1.6523539308580142,4,2.7116314683218157,-6.784499538744674,4,8.941184468711416,-2.6397300761608657,4,12.318633267882413,0.6000784720366706,3,0.036037352113273635,0.7243570434663636,3,0.014349811529947631,0.7804104463408553,3,0.01958005311601141,0.20348442423804713,3,0.019190839551955552,0.11058955365914469,3,0.01958005311601141,0.16664295653363637,3,0.014349811529947631,0.8811724993196338,3,0.05291828504151774,0.9645233601416293,3,0.019107605232952962,0.9505608359815534,3,0.02384902937394806
gen_1stdibs_j25758762,2,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
gen_1stdibs_j26718002,4,0.5517832133232394,3,0.0012704851926306215,0.7317657223683316,3,0.0013445384145827077,0.8218126019337989,3,0.002482899019578322,0.26875890341792885,3,0.0037533842122089434,0.06918739806620111,3,0.002482899019578322,0.15923427763166842,3,0.0013445384145827077,0.30163853946443553,3,0.004230582378969006,0.8487879801042226,3,0.0021753781072060274,2.439669361171174e-16,3,3.7234684961639824e-16,0.6604564902752937,3,0.0073644347071696314,-0.003691535972270427,3,0.0013763575066175972,-0.28850727484913485,3,0.1082922147288703,-0.6418453909551198,3,0.13231850748628127,0.7976382409515258,3,1.8535770628261559,0.5913296570751388,3,0.0016028462412789324,0.743826932065309,3,0.0014828753289127805,0.8146708758671127,3,0.0002512893650479242,0.2220381295761943,3,0.0031572248221064525,0.07632912413288728,3,0.0002512893650479242,0.14717306793469098,3,0.0014828753289127805,0.8683254876286913,3,0.0023536655525387973,0.9904486445609973,3,0.001974534392693461,0.992290957207202,3,0.0003060771803262696
gen_wex_3KSuGhC,6,0.5431308448309812,4,0.006456354005667575,0.6589153258859428,4,0.0008395581039778999,0.7310255856935263,4,0.02253829640983035,0.18865988531194633,4,0.023303440859231583,0.15997441430647374,4,0.02253829640983035,0.2320846741140572,4,0.0008395581039778999,0.23569477991462945,4,0.023099756659098164,1.0857485044099044,4,0.15713268437807026,2.143967775607408e-16,4,1.5373857148415652e-16,0.6516334747521453,4,0.037300840702603755,-0.0070792464661078285,4,0.012489299480343826,-0.6416569520575863,4,1.0876796559181872,-2.3365883470243953,4,2.8058847167526904,1.2208887553815744,4,1.7571163646938803,0.6025514898888167,1,,0.7439068855219951,1,,0.8043198041696337,1,,0.20176831428081698,1,,0.08668019583036635,1,,0.14709311447800488,1,,0.8848039499101565,1,,0.9905551072197005,1,,0.979683074506253,1,
