source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,hour,shape,segmented,confidence,loo_outer_fit_ok,loo_outer_n_peers,loo_outer_residual_px,in_sample_outer_residual_px,angular_residual_deg,clearance_normalized,verdict_state,shape_offset_residual_px
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,1,round,1,0.8655,1,7,3.0478,0.9579,0.0358,0.3661,NO_ISSUE,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,2,round,1,0.8506,1,7,5.4497,0.5277,-0.0766,0.3282,POSSIBLE_ISSUE,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,4,round,1,0.8590,1,7,0.9698,0.2603,-0.0207,0.3595,NO_ISSUE,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,5,round,1,0.8568,1,7,1.2160,0.4009,-0.0857,0.3802,NO_ISSUE,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,7,round,1,0.8526,1,7,1.6599,0.0156,-0.1799,0.3878,NO_ISSUE,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,8,round,1,0.8584,1,7,0.9271,0.4533,0.0436,0.3883,NO_ISSUE,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,10,round,1,0.8717,1,7,4.2851,1.2840,0.0929,0.3705,NO_ISSUE,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,11,round,1,0.6473,1,7,4.5394,1.3712,0.5008,0.3207,POSSIBLE_ISSUE,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,6,baton,1,0.8287,,,,,-0.0249,0.3179,NO_ISSUE,15.0128
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,9,baton,1,0.8224,,,,,0.0423,0.2864,NO_ISSUE,15.9180
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,12,triangle,1,0.9049,,,,,0.2835,0.1975,POSSIBLE_ISSUE,30.3303
