source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,n_ticks,n_boundary,reproj_error_px,inlier_fraction,homography_fitted,marker_1_baseline_measured,marker_1_baseline_radial_pct_r,marker_1_baseline_angular_deg,marker_1_new_measured,marker_1_new_radial_pct_r,marker_1_new_angular_deg,marker_1_new_area_norm,marker_1_new_anisotropy,marker_2_baseline_measured,marker_2_baseline_radial_pct_r,marker_2_baseline_angular_deg,marker_2_new_measured,marker_2_new_radial_pct_r,marker_2_new_angular_deg,marker_2_new_area_norm,marker_2_new_anisotropy,marker_4_baseline_measured,marker_4_baseline_radial_pct_r,marker_4_baseline_angular_deg,marker_4_new_measured,marker_4_new_radial_pct_r,marker_4_new_angular_deg,marker_4_new_area_norm,marker_4_new_anisotropy,marker_5_baseline_measured,marker_5_baseline_radial_pct_r,marker_5_baseline_angular_deg,marker_5_new_measured,marker_5_new_radial_pct_r,marker_5_new_angular_deg,marker_5_new_area_norm,marker_5_new_anisotropy,marker_6_baseline_measured,marker_6_baseline_radial_pct_r,marker_6_baseline_angular_deg,marker_6_new_measured,marker_6_new_radial_pct_r,marker_6_new_angular_deg,marker_6_new_area_norm,marker_6_new_anisotropy,marker_7_baseline_measured,marker_7_baseline_radial_pct_r,marker_7_baseline_angular_deg,marker_7_new_measured,marker_7_new_radial_pct_r,marker_7_new_angular_deg,marker_7_new_area_norm,marker_7_new_anisotropy,marker_8_baseline_measured,marker_8_baseline_radial_pct_r,marker_8_baseline_angular_deg,marker_8_new_measured,marker_8_new_radial_pct_r,marker_8_new_angular_deg,marker_8_new_area_norm,marker_8_new_anisotropy,marker_9_baseline_measured,marker_9_baseline_radial_pct_r,marker_9_baseline_angular_deg,marker_9_new_measured,marker_9_new_radial_pct_r,marker_9_new_angular_deg,marker_9_new_area_norm,marker_9_new_anisotropy,marker_10_baseline_measured,marker_10_baseline_radial_pct_r,marker_10_baseline_angular_deg,marker_10_new_measured,marker_10_new_radial_pct_r,marker_10_new_angular_deg,marker_10_new_area_norm,marker_10_new_anisotropy,marker_11_baseline_measured,marker_11_baseline_radial_pct_r,marker_11_baseline_angular_deg,marker_11_new_measured,marker_11_new_radial_pct_r,marker_11_new_angular_deg,marker_11_new_area_norm,marker_11_new_anisotropy,marker_12_baseline_measured,marker_12_baseline_radial_pct_r,marker_12_baseline_angular_deg,marker_12_new_measured,marker_12_new_radial_pct_r,marker_12_new_angular_deg,marker_12_new_area_norm,marker_12_new_anisotropy
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,48,48,0.530474,0.583333,1,True,0.16076895733294627,0.03578964087671466,1,0.388321,-0.0119415,0.0192747,1.21538,True,0.18956583999611976,-0.07661146829042309,1,0.122315,-0.00940825,0.0184158,1.17519,True,-0.1274358961200761,-0.020722690500861063,1,-0.142932,-0.161386,0.0190835,1.22635,True,-0.35976497179529554,-0.0857356600129151,1,-0.583982,-0.141519,0.0157593,1.0137,True,0.4379427959629201,-0.024864600714863627,1,0.651774,0.130554,0.02392,6.63111,True,-0.5552005411193495,-0.17989534693373344,1,-0.582175,-0.0354597,0.0194915,1.33399,True,-0.7681136664049903,0.04355960632614142,1,-0.633541,0.125125,0.01849,1.18816,True,0.3115241072334296,0.04229786403249136,1,0.483338,-0.198201,0.0235805,6.68181,True,-0.6818275334697477,0.09287660421358623,1,0.418577,-0.0574945,0.0178451,1.17244,True,1.1362664792114008,0.500754552225942,0,,,,,True,-0.35346102387658895,0.28346816842053874,1,-0.474645,0.00586686,0.0323061,2.06616
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_02.jpg,20.730412452071786,47,32,0.843019,0.379747,1,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,True,-3.586796903003242,-1.3908843981686232,1,-3.9123,-1.47427,0.0173971,3.26045,True,-5.25646373128692,-0.9114543954464125,1,-5.87397,-0.977401,0.0158107,1.27182,True,-2.439135640350243,-1.7431010095105535,1,-3.11188,-1.74249,0.0144753,1.71567,True,-0.7795986477359129,-3.901357061369083,1,-0.895199,-3.85798,0.0134309,17.7846,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_03.jpg,4.41799195334961,48,28,0.70431,0.592105,1,True,-7.811963746921579,1.8066509797616455,1,-7.74454,1.80303,0.0110797,1.23889,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,True,-5.387495742195281,2.830999212378174,1,-5.16276,2.87447,0.0128745,3.35811,False,,,0,,,,,False,,,0,,,,,True,-4.192726507516264,3.672424394791335,1,-3.29396,3.15863,0.0109884,4.54824,False,,,1,-7.87825,2.28738,0.00976432,1.33843,True,-7.812894846041818,2.1231409507721537,1,-7.75135,2.13238,0.0103065,1.27569,False,,,0,,,,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_04.jpg,3.7493298864961964,48,25,0.788877,0.273973,1,True,-7.92799435878605,-1.7911506276670366,0,,,,,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,True,-4.980957946848585,-2.382875060380286,1,-4.99251,-2.24559,0.0136021,3.03969,False,,,0,,,,,False,,,0,,,,,True,-4.518202929929426,-1.8788235969811922,1,-4.31426,-1.74946,0.0144467,3.66233,False,,,0,,,,,True,-7.924198729789056,-1.4936157521377709,0,,,,,False,,,0,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.877377609921287,48,48,0.526421,0.53125,1,True,0.19848023056635578,0.3019458098397756,1,0.248765,-0.0123283,0.0189951,1.09645,True,-0.3382206047275904,0.11024471893203724,1,-0.245691,-0.0512181,0.0189951,1.07501,True,-0.4989178865565935,-0.006697773542327923,1,-0.2812,0.170107,0.0187211,1.18845,True,-0.18196966178466445,-0.01566094767292725,1,-0.107588,-0.11958,0.0199823,1.24208,False,,,0,,,,,True,0.09041630615400642,0.15756186253176452,1,-0.0133388,0.137713,0.0177767,1.26621,True,-0.5506438872311725,0.010859691908081004,1,-0.357364,0.0553387,0.0188124,1.2143,True,0.8681351030489282,0.18174405242109515,1,1.14807,0.155695,0.0258717,5.40667,True,-0.43335909813290163,0.3262736102347503,1,0.0573763,0.174584,0.0192661,1.03715,True,-0.29199069625005514,0.4526190099608698,1,0.0691451,0.141365,0.0195144,1.13074,True,-0.8096607699000224,0.4029105717516328,1,-0.603371,-0.109716,0.0266479,1.95849
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_01.jpg,12.09669212278482,48,39,0.515259,0.471264,1,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,True,-5.223923218632043,-3.5321423756808485,1,-5.13004,-3.56028,0.00880843,2.90172,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.61520267492932,48,45,0.466931,0.88172,1,True,0.08327416583225888,-3.257679929127562,1,0.153338,-3.24745,0.00936484,4.1839,True,-2.841251005776524,-3.8704743934779344,1,-2.81256,-3.8746,0.0105604,17.9225,True,-1.8821023793438085,-2.97142856664766,1,-2.20863,-3.07707,0.0112395,4.06809,True,-2.2713911819289834,-1.8943651025060149,1,-2.39211,-1.98888,0.0180163,4.03246,True,4.495015733600449,-1.9322802374301773,1,4.32799,-2.09891,0.0149604,2.30135,True,-0.7981568112065851,-2.0252559635772514,1,-1.25263,-2.08496,0.0140701,2.21969,False,,,0,,,,,True,6.105833229300894,-2.711241412924039,1,5.95966,-2.8435,0.0105347,3.00916,True,-0.08259367094696213,-3.2304057327833675,1,-0.0598134,-3.2019,0.00933916,3.77552,True,1.1454935204823213,-2.167537703475091,1,1.25051,-2.08968,0.0145808,3.55183,False,,,1,1.19452,-4.25261,0.0130743,2.70377
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_01.jpg,10.984749612018692,47,44,0.786465,0.692308,1,False,,,0,,,,,True,-3.617565210098106,-0.425529916929861,1,-3.67307,-0.422114,0.0104577,3.07138,False,,,0,,,,,True,-2.9055524150740086,-3.984755685916241,1,-2.85567,-4.1163,0.00942476,23.0938,True,5.711308201936694,-3.131378569704509,1,5.60274,-3.27121,0.00940479,4.52709,False,,,0,,,,,True,-2.39596979271558,-3.352156544123318,1,-2.42458,-3.34681,0.0136792,11.7532,False,,,1,7.19768,-2.75892,0.00880558,2.11242,False,,,0,,,,,False,,,0,,,,,False,,,0,,,,
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.509930446099395,48,46,0.585872,0.617021,1,True,-0.7476444674968219,0.06459865120656261,1,-1.116,0.183146,0.0161787,1.03827,True,-0.4603516700100174,0.35452436188452197,1,-0.64402,0.430216,0.0163157,1.03645,True,0.3977542063208439,0.49076000959557575,1,0.613995,0.53712,0.016972,1.11488,False,,,1,2.50656,2.53831,0.00846317,3.76534,True,0.9988396955955992,0.5671304431476187,1,0.998321,0.641089,0.0201107,8.21932,True,0.42093428386411613,0.4072292353066871,1,0.381109,0.590056,0.018724,1.53935,False,,,0,,,,,True,0.985587071212346,0.26811482593609526,1,1.04132,0.753624,0.0227159,6.31111,True,0.15344102280355765,-0.029245127332274024,1,-0.103317,0.0888588,0.0169435,1.14512,True,-0.22929787663477086,-0.4752904549634991,1,-0.587086,-0.324905,0.0159362,1.0678,True,-0.5863183152530982,-0.23792419930896358,1,-1.10882,-0.0810957,0.0238401,2.06367
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.767629849564249,42,41,0.415817,0.915663,1,True,-0.3120635112421999,-0.5451766160897478,1,-0.379099,-0.495702,0.0160475,1.0656,True,-0.16447934952098509,-0.14887636475646104,1,-0.0577956,-0.159829,0.0168094,1.13787,True,0.40402997442682276,-0.07731688854141794,1,0.851747,-0.14912,0.0163072,1.03136,False,,,1,2.34044,1.80255,0.00841466,3.54015,True,1.0841024336864846,-0.5079488680987652,1,1.28652,-0.588545,0.0199053,7.93455,True,-0.15430950316024372,-0.4093856452709588,1,-0.00612187,-0.386797,0.0167865,1.16781,False,,,1,0.900776,1.92529,0.00818068,4.16552,True,1.0505043017655646,-0.4766753918358404,1,1.28068,-0.351009,0.021897,6.78857,True,0.03590650452979238,-0.6188585380564859,1,0.272021,-0.398818,0.0168778,1.18917,False,,,1,0.311616,-2.81231,0.00895681,4.11423,True,-0.3134625188957907,-0.8230229566287335,1,-0.551658,-0.855582,0.0236917,2.07423
