source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,axis_ratio,dial_radius_px,hour,marker_shape,foreshortened_axis_deg,tilt_alignment_deg,expected_px_x,expected_px_y,detected_px_x,detected_px_y,px_dx,px_dy,px_dist,px_dist_pct_dial_radius,basis_local_radial,basis_local_tangential,radial_current_pct_r,angular_current_deg,area_norm,anisotropy,rotation_deg,jacobian_curvature_frac
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,1,round,296,4,892.477,562.402,892.859,562.038,0.382044,-0.363938,0.527644,0.167194,0.00160754,0.000470114,0.160769,0.0357896,0.0202719,1.21475,,1.92657e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,2,round,296,34,979.513,649.182,979.872,648.61,0.358543,-0.57266,0.675642,0.21409,0.00189499,-0.00100671,0.189566,-0.0766115,0.0195239,1.30862,,1.07605e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,4,round,296,86,979.945,885.84,979.638,885.565,-0.306469,-0.275355,0.411999,0.13055,-0.00127441,-0.00027116,-0.127436,-0.0207227,0.0200209,1.25656,,1.8152e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,5,round,296,56,893.225,972.305,892.96,971.146,-0.264654,-1.15874,1.18858,0.376623,-0.00359849,-0.00111839,-0.359765,-0.0857357,0.0205179,1.2486,,9.81398e-15
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,6,baton,296,26,774.568,983.627,774.665,985.007,0.0973448,1.38021,1.38364,0.438432,0.00437936,-0.000300037,0.437943,-0.0248646,0.0226164,6.77531,0.503353,1.89554e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,7,round,296,4,655.869,971.873,657.385,970.728,1.51648,-1.14463,1.89997,0.602041,-0.00555568,-0.00234053,-0.555201,-0.179895,0.0197749,1.34404,,2.04775e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,8,round,296,34,568.833,885.092,570.843,883.732,2.01067,-1.36085,2.4279,0.769326,-0.00768135,0.000565114,-0.768114,0.0435596,0.0201414,1.25676,,1.07605e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,9,baton,296,64,557.045,766.743,556.06,766.58,-0.984814,-0.162336,0.998104,0.316268,0.00311505,0.000509469,0.311524,0.0422979,0.0230431,7.22466,-0.252937,2.17849e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,10,round,296,86,568.401,648.435,570.46,649.184,2.05849,0.748983,2.19051,0.694105,-0.00681925,0.00120632,-0.681828,0.0928766,0.0201264,1.20597,,1.30393e-14
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.54147,0.995327,315.588,11,round,296,56,655.121,561.97,655.146,557.827,0.0251238,-4.14272,4.1428,1.31272,0.0113335,0.00666282,1.13627,0.500755,0.0118027,1.6163,,1.31131e-14
