source_id,image_index,physical_watch_id,provenance_class,model,image_url
soth_f83f,0,soth_f83f,auction_house,126710BLNR,https://sothebys-md.brightspotcdn.com/dims4/default/cc153fb/2147483647/strip/true/crop/900x900+0+0/resize/800x800!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F24%2Fc9%2F8b1129504a47835a32393d0568b9%2F2.jpg
soth_a3e8,0,soth_a3e8,auction_house,126710BLNR,https://sothebys-md.brightspotcdn.com/dims4/default/bb3820a/2147483647/strip/true/crop/2400x2400+0+0/resize/800x800!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fe1%2Fc3%2F58495eb0480eba0ddb7690061b29%2Frolex-batgirl-gmt-master-ii-reference-126710blnr-a-stainless-steel-automatic-wristwatch-with-date-circa-2020.png
soth_1a0f,0,soth_1a0f,auction_house,126710BLNR,https://sothebys-md.brightspotcdn.com/dims4/default/ee824f8/2147483647/strip/true/crop/900x900+0+0/resize/800x800!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F2e%2Fff%2Feec3a7a349ce8e77e12b357dea82%2F2.jpg
soth_6ae6,0,soth_6ae6,auction_house,126710BLNR,https://sothebys-md.brightspotcdn.com/dims4/default/c0baca1/2147483647/strip/true/crop/3543x3543+0+0/resize/800x800!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F90%2F33%2Febc99f7948eb87558e1b4e5340e1%2F3-gmt-master-ii-batman-current-front.png
soth_8ccb,0,soth_8ccb,auction_house,126710BLNR,https://sothebys-md.brightspotcdn.com/dims4/default/0c6cbef/2147483647/strip/true/crop/900x900+0+0/resize/800x800!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F01%2Fde%2Fb358a55d47d298c4d363db4c5660%2F2.jpg
soth_2019_lot6,4,soth_2019_lot6,auction_house,126710BLNR,https://sothebys-md.brightspotcdn.com/dims4/default/cc05884/2147483647/strip/true/crop/800x1504+0+0/resize/4096x7700!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fea%2Fc8%2Fe227751541a28e53123f3d81f491%2F184n10225-bbp4q.jpg
soth_2021_lot224,0,soth_2021_lot224,auction_house,126710BLNR,https://sothebys-md.brightspotcdn.com/dims4/default/4bdcb0b/2147483647/strip/true/crop/3543x3543+0+0/resize/4096x4096!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F91%2Fb2%2Fb6cdd06b473dbf3968cfabbec4fe%2Fmiol62-d72n8-t2-02.jpg
soth_6456,1,soth_6456,auction_house,126710BLNR,https://sothebys-md.brightspotcdn.com/dims4/default/a314938/2147483647/strip/true/crop/900x900+0+0/resize/800x800!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F93%2Fa6%2Fd18156a9431b9a1db2dea98450d9%2F1.jpg
wos_cpo_40616911,1,wos_cpo_40616911,rolex_cpo,126710BLNR,https://www.watchesofswitzerland.com/cdn/shop/files/40616911_1.jpg?height=4000&v=1758689262&width=4000
bobs_185749,0,bobs_185749,established_dealer,126710BLNR,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126710-Black-Dial-SKU185749.jpg
