source_id,provenance_class,physical_watch_id,model,source_url,max_images,provenance_note
wf_441391,established_dealer,wf_441391,126710BLNR,https://www.watchfinder.com/watches/rolex/gmt-master-ii/126710-blnr/441391,5,"Watchfinder product 441391; 126710BLNR; 2026; inspected and referenced against manufacturer records"
wf_435502,established_dealer,wf_435502,126710BLNR,https://www.watchfinder.com/watches/rolex/gmt-master-ii/126710-blnr/435502,5,"Watchfinder product 435502; 126710BLNR; 2021; inspected and referenced against manufacturer records"
swe_77497,established_dealer,swe_77497,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-steel-batgirl-black-blue-bezel-mens-watch-126710-77497/,6,"SwissWatchExpo stock 77497; Certified Authentic; exact reference"
swe_74119,established_dealer,swe_74119,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-steel-batman-bezel-mens-watch-126710-74119/,6,"SwissWatchExpo stock 74119; Certified Authentic; exact reference"
swe_59259,established_dealer,swe_59259,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-unworn-59259/,6,"SwissWatchExpo stock 59259; exact reference; dealer gallery"
swe_68784,established_dealer,swe_68784,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-unworn-68784/,6,"SwissWatchExpo stock 68784; exact reference; page states all photos are actual watch"
swe_68351,established_dealer,swe_68351,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-card-68351/,6,"SwissWatchExpo stock 68351; 2022; exact reference"
swe_42335,established_dealer,swe_42335,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-steel-mens-watch-126710-unworn-42335/,6,"SwissWatchExpo stock 42335; 2021; exact reference; front-view gallery"
swe_75910,established_dealer,swe_75910,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-steel-black-blue-batgirl-bezel-mens-watch-126710-75910/,6,"SwissWatchExpo stock 75910; exact reference; page states all photos are actual watch"
swe_79807,established_dealer,swe_79807,126710BLNR,https://www.swisswatchexpo.com/watches/rolex/gmt-master-ii-steel-batgirl-black-blue-bezel-watch-126710-box-card-unworn-79807/,6,"SwissWatchExpo stock 79807; 2026; exact reference"
swe_68408,established_dealer,swe_68408,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-bezel-steel-mens-watch-126710-68408/,6,"SwissWatchExpo stock 68408; exact reference"
swe_60177,established_dealer,swe_60177,126710BLNR,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-card-60177/,6,"SwissWatchExpo stock 60177; 2019; box/card; exact reference"
soth_f83f,auction_house,soth_f83f,126710BLNR,https://www.sothebys.com/en/buy/pdp/luxury/watches/watch/_gmt-master-ii-batgirl-reference-126710blnr-f83f,6,"Sotheby's 126710BLNR; authenticity guaranteed; page states photos are actual watch"
soth_a3e8,auction_house,soth_a3e8,126710BLNR,https://www.sothebys.com/en/buy/_gmt-126710-blnr-batman-a3e8,6,"Sotheby's 2020 126710BLNR; full set; authenticity guaranteed"
soth_1a0f,auction_house,soth_1a0f,126710BLNR,https://www.sothebys.com/en/buy/_gmt-master-ii-batman-reference-126710blnr-1a0f,6,"Sotheby's 2026 126710BLNR; authenticity guaranteed; photos actual watch"
soth_6ae6,auction_house,soth_6ae6,126710BLNR,https://www.sothebys.com/en/buy/_gmt-master-ii-batman-reference-126710blnr-a-stainless-steel-automatic-dual-time-zone-wristwatch-with-date-and-bracelet-6ae6,6,"Sotheby's 126710BLNR Batgirl; authenticity guaranteed"
soth_8ccb,auction_house,soth_8ccb,126710BLNR,https://www.sothebys.com/en/buy/_gmt-master-ii-batgirl-reference-126710blnr-8ccb,6,"Sotheby's 2026 126710BLNR; page states photos are actual watch"
soth_2019_lot6,auction_house,soth_2019_lot6,126710BLNR,https://www.sothebys.com/en/buy/auction/2019/watches-online-the-drivers-collection/rolex-gmt-master-ii-ref-126710blnr-a-stainless,6,"Sotheby's 2019 auction lot 6; signed case dial movement; exact reference"
soth_2021_lot224,auction_house,soth_2021_lot224,126710BLNR,https://www.sothebys.com/buy/064d8ca0-0ed0-4543-aba6-465c9ddf8ed4/lots/6e7fcd2c-f005-40ad-9d11-07aa84384222,6,"Sotheby's 2021 auction lot 224; box/papers; exact reference"
soth_6456,auction_house,soth_6456,126710BLNR,https://www.sothebys.com/en/buy/_gmt-master-ii-batgirl-reference-126710blnr-6456,6,"Sotheby's 2023 126710BLNR; page states photos are actual watch"
wos_cpo_40616911,rolex_cpo,wos_cpo_40616911,126710BLNR,https://www.watchesofswitzerland.com/collections/rolex-certified-pre-owned/products/gmt-ii-m126710blnr-0002-40616911,5,"Rolex Certified Pre-Owned; CPO guarantee officially confirms genuine; exact reference"
bobs_185749,established_dealer,bobs_185749,126710BLNR,https://www.bobswatches.com/pre-owned-rolex-gmt-master-ii-ref-126710blnr.html,5,"Bob's Watches SKU 185749; page says Actual Photo and 100% authentic; exact reference"
phillips_181407,auction_house,phillips_181407,126710BLNR,https://www.phillips.com/detail/rolex/181407,6,"Phillips Geneva Sessions Spring 2023 lot 43; 2021; exact 126710BLNR; guarantee card; full cataloguing"
phillips_ch080423_22,auction_house,phillips_ch080423_22,126710BLNR,https://www.phillips.com/detail/rolex/CH080423/22,6,"Phillips Geneva Sessions Fall 2023 lot 22; 2022; exact 126710BLNR; guarantee; full cataloguing"
bobs_175818,established_dealer,bobs_175818,126710BLNR,https://www.bobswatches.com/rolex-gmt-master-ii-batman-126710blnr.html,5,"Bob's Watches SKU 175818; exact 126710BLNR; Actual Photo; dealer states 100% authentic"
