source_id,source_class,physical_watch_id,source_url,page_status,candidate_urls,downloaded_images,pose_accepted,measured_images,low_tilt_images,notes
wf_441391,established_dealer,wf_441391,https://www.watchfinder.com/watches/rolex/gmt-master-ii/126710-blnr/441391,http_200,16,5,1,1,1,
wf_435502,established_dealer,wf_435502,https://www.watchfinder.com/watches/rolex/gmt-master-ii/126710-blnr/435502,http_200,16,6,1,1,0,
swe_77497,established_dealer,swe_77497,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-steel-batgirl-black-blue-bezel-mens-watch-126710-77497/,http_200,16,2,0,0,0,
swe_74119,established_dealer,swe_74119,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-steel-batman-bezel-mens-watch-126710-74119/,http_200,16,2,2,2,2,
swe_59259,established_dealer,swe_59259,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-unworn-59259/,http_200,16,3,2,2,2,
swe_68784,established_dealer,swe_68784,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-unworn-68784/,http_200,16,3,2,2,2,
swe_68351,established_dealer,swe_68351,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-card-68351/,http_200,16,3,3,3,3,
swe_42335,established_dealer,swe_42335,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-steel-mens-watch-126710-unworn-42335/,http_200,16,3,2,2,2,
soth_f83f,auction_house,soth_f83f,https://www.sothebys.com/en/buy/pdp/luxury/watches/watch/_gmt-master-ii-batgirl-reference-126710blnr-f83f,http_200,8,7,2,2,2,
soth_a3e8,auction_house,soth_a3e8,https://www.sothebys.com/en/buy/_gmt-126710-blnr-batman-a3e8,http_200,6,4,2,2,2,
soth_1a0f,auction_house,soth_1a0f,https://www.sothebys.com/en/buy/_gmt-master-ii-batman-reference-126710blnr-1a0f,http_200,8,4,3,3,1,
soth_6ae6,auction_house,soth_6ae6,https://www.sothebys.com/en/buy/_gmt-master-ii-batman-reference-126710blnr-a-stainless-steel-automatic-dual-time-zone-wristwatch-with-date-and-bracelet-6ae6,http_200,7,5,3,3,2,
wos_cpo_40616911,rolex_cpo,wos_cpo_40616911,https://www.watchesofswitzerland.com/collections/rolex-certified-pre-owned/products/gmt-ii-m126710blnr-0002-40616911,http_200,16,1,1,1,1,
bobs_185749,established_dealer,bobs_185749,https://www.bobswatches.com/pre-owned-rolex-gmt-master-ii-ref-126710blnr.html,http_200,16,4,1,1,0,
