feature,n,median,mad,loo_max_median_shift_mad,loo_max_mad_relative_change,status,reason
h12.stage3_apex_r_simple,10,0.555641648918362,0.003540531781573375,0.403765723813428,0.4874855541372777,stable,LOWO max median shift=0.404 MAD; max MAD change=0.487x baseline MAD
h12.stage3_centre_r_projective,10,0.7364485704033863,0.0024169812917246847,0.1538000655870317,0.1925007102199429,stable,LOWO max median shift=0.154 MAD; max MAD change=0.193x baseline MAD
h12.stage3_base_r_projective,10,0.8085121180675486,0.00452224778914867,0.09065232310111807,0.1227163873752077,stable,LOWO max median shift=0.091 MAD; max MAD change=0.123x baseline MAD
h12.stage3_axis_incidence_canonical,10,-0.0017067894298872597,0.003880003247471543,0.0773179074372839,0.19887331795284907,stable,LOWO max median shift=0.077 MAD; max MAD change=0.199x baseline MAD
h12.stage3_centroid_tangential_offset_canonical,10,-0.00028536796963017684,0.002359886848366525,0.2329527404531816,0.4998378380732087,stable,LOWO max median shift=0.233 MAD; max MAD change=0.500x baseline MAD
h06.centre_r,10,0.6880514044123887,0.004702282281696668,0.02141035215395513,0.23366415665983148,stable,LOWO max median shift=0.021 MAD; max MAD change=0.234x baseline MAD
h06.centre_t,10,0.0011016360953514245,0.006394005352537218,0.2335551048448329,0.3449725068870278,stable,LOWO max median shift=0.234 MAD; max MAD change=0.345x baseline MAD
h06.axis_residual_deg,10,0.4004344521160377,0.45502048315393395,0.5792167997812572,0.4353235013260623,stable,LOWO max median shift=0.579 MAD; max MAD change=0.435x baseline MAD
h06.radial_span,10,0.2423913601715199,0.013344554768313144,0.1398047251104931,0.3220815525466711,stable,LOWO max median shift=0.140 MAD; max MAD change=0.322x baseline MAD
h09.centre_r,10,0.6862243602481339,0.004058058432720668,0.16579911528211969,0.307480022673229,stable,LOWO max median shift=0.166 MAD; max MAD change=0.307x baseline MAD
h09.centre_t,10,0.002831685554739177,0.005196606182423351,0.2658154768772756,0.27873112109852777,stable,LOWO max median shift=0.266 MAD; max MAD change=0.279x baseline MAD
h09.axis_residual_deg,10,0.14386662494109004,0.4977845284846225,0.14052175108087747,0.16662898004213675,stable,LOWO max median shift=0.141 MAD; max MAD change=0.167x baseline MAD
h09.radial_span,10,0.24947806342741655,0.006708595658911715,0.12555141998537866,0.15573135076550793,stable,LOWO max median shift=0.126 MAD; max MAD change=0.156x baseline MAD
