marker,feature,n,median,mad,p10,p90,min,max
global,date_dx_window,9,0.014867536468641963,0.06535482900946203,-0.018448179866668562,0.10332463624385929,-0.05698492787569315,0.10520610213922438
global,date_dy_window,9,-0.025127897681289164,0.037605883796947806,-0.0960106891041268,0.01461148424378262,-0.1257017291115876,0.01678516162255388
global,date_offset_norm,9,0.0898268602550135,0.016315658922429782,0.029741162878022486,0.11011644170928776,0.02804854112535543,0.12601213183666568
global,date_window_h_px,9,40.0,5.0,35.0,52.2,35.0,61.0
global,date_window_w_px,9,54.0,7.0,45.6,77.3,40.0,88.5
global,dial_radius_px,9,212.74521240234384,31.616804199219047,180.2326997947691,256.70171176147437,176.64986616134638,280.6090307617185
h01,angular_residual_deg,9,-0.0868389838306598,0.07566294575917709,-0.2731663071795197,0.022079876628686948,-0.2753056813747321,0.2887136938638868
h01,anisotropy,9,1.1796664651102962,0.03588927758881244,1.1361153082717734,1.3147222097355433,1.1054677912729327,1.6023862621428568
h01,area_norm,9,0.019058586628791202,0.0012059963174626959,0.01676025440478782,0.020320508475414084,0.013541371771175315,0.020544210592054826
h01,centre_r,9,0.7518382303210162,0.0019141466564951415,0.7080321033228693,0.7531914223446251,0.672724366547959,0.7537523769775113
h01,centre_t,9,-0.0011413449680312548,0.0009964485162342052,-0.0033016233411731653,0.00023471546355626827,-0.003579331016460685,0.003492725715440792
h01,diameter_over_dial,9,0.15577594860098837,0.004850109459653695,0.1458982447967982,0.1608475318064734,0.13130167739874055,0.16173342678979874
h01,inner_r,9,0.6684437515334261,0.004204918691642856,0.6369300679752674,0.6726621697040757,0.6211269810682098,0.6727161676201028
h01,inner_t,9,-0.013759051763689356,0.008637951493707163,-0.023215681274303623,-0.0009287789835056512,-0.02649039334193204,0.00014682285093647884
h01,outer_r,9,0.8284057460795093,0.006678013797793536,0.7805525908030109,0.8353014775412375,0.7345027007278495,0.8361723481969761
h01,outer_t,9,-0.00319135586603847,0.0067862046248366725,-0.007761835339447975,0.005956776816099952,-0.011645010487655705,0.008285551328917673
h01,radial_span,9,0.1591806554650631,0.004661627125475742,0.1430654625422306,0.16484248565849893,0.11337571965963966,0.16595065929875974
h01,segmentation_confidence,9,0.8961791632686121,0.016995451179740884,0.8618924434112613,0.9155636511660993,0.8259032898556761,0.9251197980370844
h02,angular_residual_deg,9,0.3646865728749251,0.43848524943937583,-0.3955175889472457,0.8363139882781307,-0.4798262346290585,1.9848149025787158
h02,anisotropy,9,1.9090101455202846,0.40574837620082516,1.1590769700913188,2.5432470249723327,1.1393075442155454,3.4572010379772244
h02,area_norm,9,0.02060885031634882,0.003682997235579938,0.012441137052277645,0.02576586018657212,0.008020233896777753,0.026672312529049176
h02,centre_r,9,0.7357519709439599,0.013527781686792695,0.7082586977621221,0.7525508687604752,0.6776570639086464,0.7609731261275392
h02,centre_t,9,0.004465406464308264,0.005335126328363915,-0.004975297921968991,0.010926544385321549,-0.0061617339735401955,0.02637184238200807
h02,diameter_over_dial,9,0.16198766371024395,0.013879613114001127,0.12527516283488485,0.1811154951292028,0.10105285228731956,0.18428305147658194
h02,inner_r,9,0.6217033759364006,0.0004587703051516234,0.6212464061372699,0.669596084334796,0.621244605631249,0.6741242192718406
