watch_id,model,year,bracelet,source,source_record_id,source_page,image_url,provenance,geometry_status,notes
GEN-BLNR-001,126710BLNR,2019,Jubilee,LuxeForYou,listing-11082,https://www.luxeforyou.ch/fr/accueil/11082-rolex-gmt-master-ii-batman-2001168905069.html,https://www.luxeforyou.ch/img/p/5/7/2/7/9/57279.jpg,authenticated_and_controlled_in_switzerland,accepted,near-frontal full dial; independent physical watch
GEN-BLNR-002,126710BLNR,2023,Jubilee,Chrono24,listing-34032837,https://www.chrono24.com/rolex/rolex-in-stock-2023-gmt-master-ii-batgirl-126710blnr-jubilee-bracelet--id34032837.htm,https://img.chrono24.com/images/uhren/34032837-zf1yv8cba0rdkbyf3b98e5rf-ExtraLarge.jpg,trusted_listing_box_and_papers,accepted,near-frontal; full dial and marker ring visible
GEN-BLNR-003,126710BLNR,2023,Oyster,Chrono24,listing-44513082,https://www.chrono24.de/rolex/rolex-gmt-master-ii--id44513082.htm,https://img.chrono24.com/images/uhren/44513082-2fq30zdbozbw8whhcjztypzh-ExtraLarge.jpg,trusted_seller_box_and_papers,accepted,near-frontal with modest perspective; full marker ring visible
GEN-BLNR-004,126710BLNR,2023,Jubilee,DelrayWatch,inventory-4806,https://delraywatch.com/rolex-gmt-master-ii-126710blnr-2023-inventory-4806/,https://cdn11.bigcommerce.com/s-bpf02c8y86/images/stencil/2000x2000/products/6413/42625/4806-1__03658.1702055515.jpg?c=2,dealer_guaranteed_authentic_box_and_papers,accepted,clean near-frontal catalogue image; full dial visible
GEN-BLNR-005,126710BLNR,2020,Jubilee,SwissWatchExpo,stock-42334,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-jubilee-mens-watch-126710-unworn-42334/,,certified_authentic_actual_watch_photos,source_selected,front-view gallery confirmed; direct image URL still to pin
GEN-BLNR-006,126710BLNR,2021,Oyster,SwissWatchExpo,stock-42335,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-steel-mens-watch-126710-unworn-42335/,,certified_authentic_actual_watch_photos,source_selected,front-view gallery confirmed; direct image URL still to pin
GEN-BLNR-007,126710BLNR,2021,Oyster,SwissWatchExpo,stock-42300,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-black-blue-batman-steel-mens-watch-126710-unworn-42300/,,certified_authentic_actual_watch_photos,source_selected,front-view gallery confirmed; direct image URL still to pin
GEN-BLNR-008,126710BLNR,2019,Jubilee,SwissWatchExpo,stock-60177,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-card-60177/,,certified_authentic_actual_watch_photos,source_selected,actual-watch listing; direct frontal image to pin
GEN-BLNR-009,126710BLNR,2019,Jubilee,SwissWatchExpo,stock-66671,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-box-card-66671/,,certified_authentic_actual_watch_photos,source_selected,independent stock/serial; direct frontal image to pin
GEN-BLNR-010,126710BLNR,2022,Jubilee,SwissWatchExpo,stock-68351,https://www.swisswatchexpo.com/watches/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-card-68351/,,certified_authentic_actual_watch_photos,source_selected,front-view gallery confirmed; direct image URL still to pin
