physical_watch_id,source,product_id,year,source_page,image_url,provenance_status,selection_status,notes
wf-409985,Watchfinder,409985,2021,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/39491/item/409985,https://images.watchfinder.co.uk/marketplace/prod/e1821eaf46ed4b7bb9b3c843a19e927f;quality=90;h=640,actual_watch,pinned,Watchfinder page labels gallery as actual watch; separate product code
wf-413183,Watchfinder,413183,2022,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/413183,https://images.watchfinder.co.uk/marketplace/prod/ba7fa1b1d9024046a68be7225e6ca231;quality=90,actual_watch,pinned,Watchfinder actual-watch gallery; separate product code
wf-399364,Watchfinder,399364,2025,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/399364,https://images.watchfinder.co.uk/marketplace/prod/64298c3a288f40f8839a8b8662f72311;quality=90,actual_watch,pinned,Watchfinder actual-watch gallery; separate product code
wf-365426,Watchfinder,365426,2024,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/39491/item/365426,https://images.watchfinder.co.uk/marketplace/prod/caf693dc06e7496bb341049c81267227;quality=90,actual_watch,pinned,Watchfinder actual-watch gallery; separate product code
wf-346068,Watchfinder,346068,2024,https://www.watchfinder.com/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/346068,https://images.watchfinder.co.uk/marketplace/prod/e1e6fac98e7040d5bad2d91de4dd225f;quality=90;h=640,actual_watch,pinned,Watchfinder page explicitly labels image as actual watch
wf-328914,Watchfinder,328914,2021,https://www.watchfinder.com/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/328914,https://images.watchfinder.co.uk/marketplace/prod/c5da3fe575924ae5b9508b26a3311eb7;quality=90;h=640,actual_watch,pinned,Watchfinder page explicitly labels image as actual watch
wf-321927,Watchfinder,321927,2021,https://www.watchfinder.com/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/321927,https://images.watchfinder.co.uk/marketplace/prod/040ad6d8da704c3cb7e9a5106a65ab3b;quality=90;h=640,actual_watch,pinned,Watchfinder page explicitly labels image as actual watch
wf-354321,Watchfinder,354321,2021,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/354321,,actual_watch,page_verified,Actual-watch listing verified; suitable image URL still to pin
wf-407829,Watchfinder,407829,2021,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/407829,,actual_watch,page_verified,Actual-watch listing verified but current URL redirects; do not crawl in measurement job
wf-417818,Watchfinder,417818,2024,https://www.watchfinder.com/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/417818,,actual_watch,page_verified,Search result verifies actual-watch listing; direct gallery unavailable from cached page
wf-444829,Watchfinder,444829,,https://www.watchfinder.co.uk/watches/rolex/gmt-master-ii/126710-blnr/444829,,actual_watch,page_verified,Search result identifies actual-watch gallery
bobs-190468,Bob's Watches,190468,2020,https://www.bobswatches.com/used-rolex-gmt-master-ii-batgirl-ref-126710blnr-jubilee-band.html,,actual_photo,page_verified,Bob's marks gallery Actual Photo; independent SKU 190468
bobs-188318,Bob's Watches,188318,2020,https://www.bobswatches.com/pre-owned-batgirl-rolex-gmt-master-ii-ref-126710blnr-jubilee-band.html,,actual_photo,page_verified,Bob's marks gallery Actual Photo; independent SKU 188318
bobs-190574,Bob's Watches,190574,,https://www.bobswatches.com/used-jubilee-bracelet-rolex-gmt-master-ii-batgirl-ref-126710blnr.html,,actual_photo,page_verified,Bob's marks gallery Actual Photo; independent SKU 190574
