source_class,feature,n,median,mad,p10,p90,min,max
Chrono24,date_dx_window,1,0.035257099319599354,0.0,0.035257099319599354,0.035257099319599354,0.035257099319599354,0.035257099319599354
Chrono24,date_dy_window,1,-0.028071095571095543,0.0,-0.028071095571095543,-0.028071095571095543,-0.028071095571095543,-0.028071095571095543
Chrono24,date_offset_norm,1,0.045067166085673425,0.0,0.045067166085673425,0.045067166085673425,0.045067166085673425,0.045067166085673425
Chrono24,date_window_h_px,1,30.0,0.0,30.0,30.0,30.0,30.0
Chrono24,date_window_w_px,1,37.0,0.0,37.0,37.0,37.0,37.0
Chrono24,dial_radius_px,1,149.439700126648,0.0,149.439700126648,149.439700126648,149.439700126648,149.439700126648
Chrono24,h01.angular_residual_deg,1,0.0930144982536234,0.0,0.0930144982536234,0.0930144982536234,0.0930144982536234,0.0930144982536234
Chrono24,h01.anisotropy,1,1.1508769534249175,0.0,1.1508769534249175,1.1508769534249175,1.1508769534249175,1.1508769534249175
Chrono24,h01.area_norm,1,0.018717347653674245,0.0,0.018717347653674245,0.018717347653674245,0.018717347653674245,0.018717347653674245
Chrono24,h01.centre_r,1,0.7442711378520952,0.0,0.7442711378520952,0.7442711378520952,0.7442711378520952,0.7442711378520952
Chrono24,h01.centre_t,1,0.0012082577086162116,0.0,0.0012082577086162116,0.0012082577086162116,0.0012082577086162116,0.0012082577086162116
Chrono24,h01.diameter_over_dial,1,0.15437508608973782,0.0,0.15437508608973782,0.15437508608973782,0.15437508608973782,0.15437508608973782
Chrono24,h01.inner_r,1,0.6642344650035945,0.0,0.6642344650035945,0.6642344650035945,0.6642344650035945,0.6642344650035945
Chrono24,h01.inner_t,1,-0.00017638201149383637,0.0,-0.00017638201149383637,-0.00017638201149383637,-0.00017638201149383637,-0.00017638201149383637
Chrono24,h01.outer_r,1,0.8239781894709781,0.0,0.8239781894709781,0.8239781894709781,0.8239781894709781,0.8239781894709781
Chrono24,h01.outer_t,1,-0.0007060060950744851,0.0,-0.0007060060950744851,-0.0007060060950744851,-0.0007060060950744851,-0.0007060060950744851
Chrono24,h01.radial_span,1,0.1597437244673836,0.0,0.1597437244673836,0.1597437244673836,0.1597437244673836,0.1597437244673836
Chrono24,h01.segmentation_confidence,1,0.9038743408086243,0.0,0.9038743408086243,0.9038743408086243,0.9038743408086243,0.9038743408086243
Chrono24,h02.angular_residual_deg,1,0.04934591046185588,0.0,0.04934591046185588,0.04934591046185588,0.04934591046185588,0.04934591046185588
Chrono24,h02.anisotropy,1,1.2324833082095024,0.0,1.2324833082095024,1.2324833082095024,1.2324833082095024,1.2324833082095024
Chrono24,h02.area_norm,1,0.017306829828098315,0.0,0.017306829828098315,0.017306829828098315,0.017306829828098315,0.017306829828098315
Chrono24,h02.centre_r,1,0.7408679686204667,0.0,0.7408679686204667,0.7408679686204667,0.7408679686204667,0.7408679686204667
Chrono24,h02.centre_t,1,0.000638071665896689,0.0,0.000638071665896689,0.000638071665896689,0.000638071665896689,0.000638071665896689
Chrono24,h02.diameter_over_dial,1,0.1484444008076318,0.0,0.1484444008076318,0.1484444008076318,0.1484444008076318,0.1484444008076318
Chrono24,h02.inner_r,1,0.6643178233651855,0.0,0.6643178233651855,0.6643178233651855,0.6643178233651855,0.6643178233651855
Chrono24,h02.inner_t,1,0.003468559579142272,0.0,0.003468559579142272,0.003468559579142272,0.003468559579142272,0.003468559579142272
Chrono24,h02.outer_r,1,0.8216096076406827,0.0,0.8216096076406827,0.8216096076406827,0.8216096076406827,0.8216096076406827
Chrono24,h02.outer_t,1,-0.023036313202167147,0.0,-0.023036313202167147,-0.023036313202167147,-0.023036313202167147,-0.023036313202167147
Chrono24,h02.radial_span,1,0.15729178427549717,0.0,0.15729178427549717,0.15729178427549717,0.15729178427549717,0.15729178427549717
Chrono24,h02.segmentation_confidence,1,0.8863809672055625,0.0,0.8863809672055625,0.8863809672055625,0.8863809672055625,0.8863809672055625
Chrono24,h04.angular_residual_deg,1,0.27467479774568204,0.0,0.27467479774568204,0.27467479774568204,0.27467479774568204,0.27467479774568204
Chrono24,h04.anisotropy,1,1.503284555140887,0.0,1.503284555140887,1.503284555140887,1.503284555140887,1.503284555140887
Chrono24,h04.area_norm,1,0.017911337467630857,0.0,0.017911337467630857,0.017911337467630857,0.017911337467630857,0.017911337467630857
Chrono24,h04.centre_r,1,0.7477138874375912,0.0,0.7477138874375912,0.7477138874375912,0.7477138874375912,0.7477138874375912
Chrono24,h04.centre_t,1,0.0035845525781041387,0.0,0.0035845525781041387,0.0035845525781041387,0.0035845525781041387,0.0035845525781041387
Chrono24,h04.diameter_over_dial,1,0.15101464552447944,0.0,0.15101464552447944,0.15101464552447944,0.15101464552447944,0.15101464552447944
Chrono24,h04.inner_r,1,0.6644282790875286,0.0,0.6644282790875286,0.6644282790875286,0.6644282790875286,0.6644282790875286
Chrono24,h04.inner_t,1,0.00552143950371542,0.0,0.00552143950371542,0.00552143950371542,0.00552143950371542,0.00552143950371542
Chrono24,h04.outer_r,1,0.8311663395428266,0.0,0.8311663395428266,0.8311663395428266,0.8311663395428266,0.8311663395428266
Chrono24,h04.outer_t,1,0.009438373206336781,0.0,0.009438373206336781,0.009438373206336781,0.009438373206336781,0.009438373206336781
Chrono24,h04.radial_span,1,0.16673806045529804,0.0,0.16673806045529804,0.16673806045529804,0.16673806045529804,0.16673806045529804
Chrono24,h04.segmentation_confidence,1,0.8190965657668432,0.0,0.8190965657668432,0.8190965657668432,0.8190965657668432,0.8190965657668432
Chrono24,h05.angular_residual_deg,1,0.21507577908262476,0.0,0.21507577908262476,0.21507577908262476,0.21507577908262476,0.21507577908262476
Chrono24,h05.anisotropy,1,1.4412453096949127,0.0,1.4412453096949127,1.4412453096949127,1.4412453096949127,1.4412453096949127
Chrono24,h05.area_norm,1,0.018224785873314397,0.0,0.018224785873314397,0.018224785873314397,0.018224785873314397,0.018224785873314397
Chrono24,h05.centre_r,1,0.7526596077387906,0.0,0.7526596077387906,0.7526596077387906,0.7526596077387906,0.7526596077387906
Chrono24,h05.centre_t,1,0.002825332218817367,0.0,0.002825332218817367,0.002825332218817367,0.002825332218817367,0.002825332218817367
Chrono24,h05.diameter_over_dial,1,0.15233029268085402,0.0,0.15233029268085402,0.15233029268085402,0.15233029268085402,0.15233029268085402
Chrono24,h05.inner_r,1,0.6670695920900638,0.0,0.6670695920900638,0.6670695920900638,0.6670695920900638,0.6670695920900638
Chrono24,h05.inner_t,1,0.001331332267542451,0.0,0.001331332267542451,0.001331332267542451,0.001331332267542451,0.001331332267542451
Chrono24,h05.outer_r,1,0.8337769886072118,0.0,0.8337769886072118,0.8337769886072118,0.8337769886072118,0.8337769886072118
Chrono24,h05.outer_t,1,-0.0008692992486247775,0.0,-0.0008692992486247775,-0.0008692992486247775,-0.0008692992486247775,-0.0008692992486247775
Chrono24,h05.radial_span,1,0.16670739651714805,0.0,0.16670739651714805,0.16670739651714805,0.16670739651714805,0.16670739651714805
Chrono24,h05.segmentation_confidence,1,0.8303773543223001,0.0,0.8303773543223001,0.8303773543223001,0.8303773543223001,0.8303773543223001
Chrono24,h06.angular_residual_deg,1,-0.3685670110840533,0.0,-0.3685670110840533,-0.3685670110840533,-0.3685670110840533,-0.3685670110840533
Chrono24,h06.anisotropy,1,6.608618263855056,0.0,6.608618263855056,6.608618263855056,6.608618263855056,6.608618263855056
Chrono24,h06.area_norm,1,0.023822078831949037,0.0,0.023822078831949037,0.023822078831949037,0.023822078831949037,0.023822078831949037
Chrono24,h06.axis_residual_deg,1,7.0926828130994295,0.0,7.0926828130994295,7.0926828130994295,7.0926828130994295,7.0926828130994295
Chrono24,h06.centre_r,1,0.6963946822747015,0.0,0.6963946822747015,0.6963946822747015,0.6963946822747015,0.6963946822747015
Chrono24,h06.centre_t,1,-0.004479765335359555,0.0,-0.004479765335359555,-0.004479765335359555,-0.004479765335359555,-0.004479765335359555
Chrono24,h06.diameter_over_dial,1,0.1741585852223081,0.0,0.1741585852223081,0.1741585852223081,0.1741585852223081,0.1741585852223081
Chrono24,h06.inner_r,1,0.5617638554770759,0.0,0.5617638554770759,0.5617638554770759,0.5617638554770759,0.5617638554770759
Chrono24,h06.inner_t,1,0.016812619348935985,0.0,0.016812619348935985,0.016812619348935985,0.016812619348935985,0.016812619348935985
Chrono24,h06.outer_r,1,0.8166445349668863,0.0,0.8166445349668863,0.8166445349668863,0.8166445349668863,0.8166445349668863
Chrono24,h06.outer_t,1,0.016927419990890164,0.0,0.016927419990890164,0.016927419990890164,0.016927419990890164,0.016927419990890164
Chrono24,h06.radial_span,1,0.2548806794898104,0.0,0.2548806794898104,0.2548806794898104,0.2548806794898104,0.2548806794898104
Chrono24,h06.segmentation_confidence,1,0.8330906231279493,0.0,0.8330906231279493,0.8330906231279493,0.8330906231279493,0.8330906231279493
