marker,feature,n,median,mad,p10,p90,min,max
global,date_dx_window,4,0.012548188375894605,0.011301489971602623,5.46851210476481e-05,0.030940863065535465,-0.0017333348038188554,0.035257099319599354
global,date_dy_window,4,-0.02460851541359422,0.004127804294138308,-0.04631381657352176,-0.02021462146480112,-0.05413212557456157,-0.019815486982818927
global,date_offset_norm,4,0.037388655123600796,0.012224862690031767,0.02309592745442588,0.05143205850481622,0.02026126315138204,0.0541598695415917
global,date_window_h_px,4,50.0,18.0,31.2,79.3,30.0,85.0
global,date_window_w_px,4,62.5,26.0,36.3,99.9,36.0,105.0
global,dial_radius_px,4,206.8755287551879,66.24189390182488,137.11120874404904,327.7914561958312,131.82756958007803,354.9972128295897
h01,angular_residual_deg,3,0.0930144982536234,0.03703511127817194,0.020216204375557822,0.12264258727616095,0.002016630906041428,0.13004960953179534
h01,anisotropy,3,1.1508769534249175,0.03747853392234424,1.0357639933068064,1.180859780562793,1.0069857532772786,1.1883554873472617
h01,area_norm,3,0.018717347653674245,0.0010772168735580616,0.01434470721065064,0.019579121152520695,0.013251547099894737,0.019794564527232307
h01,centre_r,3,0.7442711378520952,0.00578171241613723,0.7122558590684537,0.7488965077850049,0.7042520393725433,0.7500528502682324
h01,centre_t,3,0.0012082577086162116,0.00039025200355735645,0.0002627711393270671,0.0015204593114620968,2.6399497004780947e-05,0.001598509712173568
h01,diameter_over_dial,3,0.15437508608973782,0.004380141625396239,0.13479004033666792,0.15787919939005482,0.12989377889840045,0.15875522771513406
h01,inner_r,3,0.6642344650035945,0.003523751272460296,0.644410641429536,0.6670534660215628,0.6394546855360214,0.6677582162760548
h01,inner_t,3,-0.00017638201149383637,0.002771246226339452,-0.004580630297218069,0.0020406149695777255,-0.005681692368649127,0.002594864214845616
h01,outer_r,3,0.8239781894709781,0.0075500853667979095,0.7805321663010996,0.8300182577644164,0.7696706605086299,0.831528274837776
h01,outer_t,3,0.0023436751846643844,0.0030496812797388695,-9.60698391267111e-05,0.0048693991736839855,-0.0007060060950744851,0.005500830170938886
h01,radial_span,3,0.1597437244673836,0.004026334094337614,0.13612152487156354,0.1629647917428537,0.1302159749726085,0.16377005856172122
h01,segmentation_confidence,3,0.9038743408086243,0.022805882714244108,0.885629634637229,0.9354498692156157,0.8810684580943802,0.9433437513173635
