source_id,source_class,physical_watch_id,source_url,page_status,candidate_urls,downloaded_images,pose_accepted,measured_images,low_tilt_images,notes
wf-409985,Watchfinder,wf-409985,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/39491/item/409985,pinned_direct_image,1,1,1,1,1,
wf-413183,Watchfinder,wf-413183,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/413183,pinned_direct_image,1,1,0,0,0,
wf-399364,Watchfinder,wf-399364,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/399364,pinned_direct_image,1,1,1,1,0,
wf-365426,Watchfinder,wf-365426,https://www.watchfinder.co.uk/Rolex/GMT%20Master%20II/126710%20BLNR/39491/item/365426,pinned_direct_image,1,1,0,0,0,
wf-346068,Watchfinder,wf-346068,https://www.watchfinder.com/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/346068,pinned_direct_image,1,0,0,0,0,
wf-328914,Watchfinder,wf-328914,https://www.watchfinder.com/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/328914,pinned_direct_image,1,0,0,0,0,
wf-321927,Watchfinder,wf-321927,https://www.watchfinder.com/Rolex/GMT%20Master%20II/126710%20BLNR/51117/item/321927,pinned_direct_image,1,0,0,0,0,
luxeforyou-11082,LuxeForYou,luxeforyou-11082,https://www.luxeforyou.ch/fr/accueil/11082-rolex-gmt-master-ii-batman-2001168905069.html,pinned_direct_image,1,0,0,0,0,
chrono-34032837,Chrono24,chrono-34032837,https://www.chrono24.com/rolex/rolex-in-stock-2023-gmt-master-ii-batgirl-126710blnr-jubilee-bracelet--id34032837.htm,pinned_direct_image,1,1,1,1,1,
watchclub-16006,Watch Club,watchclub-16006,https://www.watchclub.com/rolex/gmt-master-ii/126710blnr-new-ref-126710blnr-year-2024,pinned_direct_image,1,1,0,0,0,
Ticken-180225961,The Ticken,Ticken-180225961,https://shop.the-ticken.com/?pid=180225961,pinned_direct_image,1,0,0,0,0,
xl-batman,XL Jewelers,xl-batman,https://xljewelers.com/products/rolex-gmt-master-ii-batman,pinned_direct_image,1,1,1,1,1,
santblanc-126710,Sant Blanc,santblanc-126710,https://santblanc.net/products/rolex-stainless-steel-gmt-master-ii-blue-black-batman-bezel-126710,pinned_direct_image,1,0,0,0,0,
chrono-45037364,Chrono24,chrono-45037364,https://www.chrono24.com.au/rolex/rolex-gmt-master-ii-126710blnr-batman-jubilee-2021--id45037364.htm,pinned_direct_image,1,1,1,1,0,
idwx-batman-2023,IDWX,idwx-batman-2023,https://idwx.co/products/rolex-gmt-master-ii-batman-oyster-2023,pinned_direct_image,1,1,1,1,1,
