t,V,H,harm,cov,fitres,minmean,r
0.000000,-0.104515,0.199279,0.225023,0.481944,0.128274,0.742666,113.559998
2.000000,-0.151980,0.033568,0.155643,0.390278,0.085724,0.813279,114.880005
4.000000,0.052923,-0.243942,0.249616,0.430556,0.264430,0.473872,154.480011
6.000000,-0.360945,0.256622,0.442873,0.451389,0.187990,0.370999,110.919998
8.000000,0.178671,0.056421,0.187368,0.484722,0.533362,0.800208,132.040009
10.000000,0.325230,0.291727,0.436897,0.434722,0.185034,0.225802,120.160004
12.000000,0.355349,0.017888,0.355799,0.451389,0.202684,0.358138,154.480011
14.000000,,,,,,,
16.000000,-0.038138,0.085757,0.093855,0.502778,0.126703,0.908311,129.040009
18.000000,0.539109,0.245901,0.592542,0.309722,0.256269,0.528617,166.360016
20.000000,0.202938,-0.114292,0.232908,0.405556,0.244539,0.648137,129.399994
22.000000,-0.188923,0.007684,0.189079,0.434722,0.185014,0.698749,150.520004
24.000000,0.043581,0.042892,0.061148,0.415278,0.214115,0.902659,154.480011
26.000000,-0.094643,0.019216,0.096574,0.434722,0.069435,0.872252,118.840004
28.000000,-0.002771,0.082778,0.082824,0.451389,0.091851,0.883888,172.960007
30.000000,0.005638,0.102646,0.102801,0.498611,0.063923,0.884821,132.040009
32.000000,-0.115213,0.020803,0.117076,0.390278,0.076754,0.828332,165.040009
34.000000,-0.155061,0.001508,0.155068,0.363889,0.091378,0.831711,186.160004
36.000000,-0.023690,-0.010139,0.025769,0.377778,0.099617,0.928957,171.639999
38.000000,-0.157409,-0.234418,0.282364,0.408333,0.039894,0.635189,183.399994
40.000000,-0.063669,0.102072,0.120302,0.444444,0.121036,0.739910,187.480011
42.000000,,,,,,,
44.000000,0.026052,0.036880,0.045154,0.476389,0.475625,0.915820,149.200012
46.000000,-0.093790,0.134903,0.164303,0.409722,0.068867,0.711676,142.600006
48.000000,,,,,,,
50.000000,0.155723,-0.085443,0.177624,0.447222,0.279334,0.710584,137.320007
52.000000,-0.047156,0.003155,0.047262,0.365278,0.062324,0.906348,114.880005
54.000000,0.050002,-0.141413,0.149993,0.508333,0.412233,0.838003,183.520004
56.000000,-0.043579,-0.177526,0.182796,0.345833,0.083076,0.783196,121.479996
58.000000,-0.165222,-0.329679,0.368763,0.483333,0.059453,0.637322,105.400002
